window_size,time_sec
1,0.713672313000643
11,7.154444847999912
21,9.57773480600008
31,13.143202891998953
41,17.672189643999445
51,21.732347264000055
61,10.460822463999648
71,11.100018325001656
81,11.893762916999549
91,12.766314184000294
101,13.309878400999878
111,14.433515829001408
121,15.42432147099862
131,17.07143422399895
141,18.629602725999575
151,20.56646144700062
161,26.247766807000517
171,21.598718076000296
181,19.861002588999327
191,20.319288799999413
201,22.573067196999546
211,23.840334546999657
221,26.033556438000232
231,32.027265652001006
241,36.120505689999845
251,25.205453767999643
261,26.702603772999282
271,27.791875744998833
281,30.194740533001095
291,33.817942368999866
301,33.909163003001595
311,28.66374498299956
321,29.594963556999573
331,31.05835885200031
341,35.661374223000166
351,37.67411924800035
361,30.916628327999206
371,31.975154031000784
381,34.03704074400048
391,39.07930057299927
401,40.12281445100052
411,33.31570683800055
421,34.6412498640002
431,39.220155858
441,44.988981776999935
451,35.335419717999685
461,37.62960282000131
471,40.504355639001005
481,49.283543546000146
491,39.086112846000105
501,41.328004042999964
511,49.24599564699929
521,40.17622312200001
531,42.00731393299975
541,45.833998721998796
551,53.208844753999074
561,41.381776651998734
571,43.868101919000765
581,49.76650446300118
591,51.63450422200003
601,46.868905531000564
611,55.557650986000226
621,47.2430408679993
631,49.11605586100086
641,55.947154798001066
651,47.44932932499978
661,51.48244559500017
671,62.85913752799934
681,50.27788168999905
691,49.75258864500029
701,57.32083412999964
711,58.386271710000074
721,51.84591952200026
731,59.33679342600044
741,60.89117522400011
751,58.16198250299931
761,62.7181156989991
771,57.19773280800109
781,65.86469263099934
791,57.54660664400035
801,67.87308795999888
811,57.62737388900132
821,63.11581930600005
831,69.02548386800117
841,62.03994018500089
851,68.52151672700165
861,58.70504063500084
871,69.15946614399945
881,66.83332617500128
891,63.24477500199828
901,75.61943451099978
911,63.15081879099853
921,74.08736035199945
931,66.15553580699998
941,68.19519641100123
951,75.71789126300064
961,66.6701776459995
971,80.82450305599923
981,66.37689115899957
991,78.20434663199921
1001,72.20617117499933
1011,81.544644212001
1021,71.48744544600049
1031,80.69641572599903
1041,72.65166793699973
1051,85.42284097499942
1061,71.88733669100111
1071,87.2127594930007
1081,72.2362956270008
1091,80.99769622799977
1101,80.21468296800049
1111,87.23202198699983
1121,76.20697273000042
1131,91.73076498800037
1141,75.65449574500053
1151,91.88349139900129
1161,79.49936402499952
1171,90.12285429400072
1181,81.04611267499786
1191,90.42685592999987
1201,84.12303253500068
1211,92.29434641199987
1221,94.69158028099991
1231,80.88638773800267
1241,96.93258003199662
1251,87.80946277800103
1261,90.746298905
1271,91.82998031199895
1281,92.18091175299924
1291,100.09555095099859
1301,85.100330786001
1311,100.66144578899912
1321,88.67386441399867
1331,100.46679982500063
1341,93.6995032470004
1351,99.00505400600014
1361,103.89589405699735
1371,92.9247661469999
1381,101.50946620200193
1391,104.5607897560003
1401,94.99505429599958
1411,104.45947824199902
1421,107.02369842400003
1431,93.38075066699821
1441,110.67669869900055
1451,98.0190536379996
1461,106.7946889699997
1471,108.24626280000302
1481,99.7198865169994
1491,111.78466006599774
1501,105.07043548000001
1511,106.49324887599869
1521,109.0273800870018
1531,112.63911073100098
1541,102.559748003001
1551,113.94696186800138
1561,114.52795587299988
1571,107.39020327199978
1581,111.57044830599989
1591,116.73006681399784
1601,119.22538807300225
1611,104.51405853300093
1621,118.1533409069998
1631,120.6245685119975
1641,109.57393369999772
1651,118.10963025300225
1661,122.99702736200197
1671,110.39761465600168
1681,122.2331704390017
1691,119.6130029019987
1701,125.42975852299787
1711,123.67950934100008
1721,113.5260602490016
1731,123.64521489699837
1741,126.32685797799786
1751,121.1012316790002
1761,124.61855589699917
1771,122.05625665400294
1781,128.18752287000098
1791,130.43332979499974
1801,121.93362568500015
1811,126.41990309299945
1821,133.26233000499997
1831,131.18233421200057
1841,133.88718385800166
1851,124.21982905199911
1861,130.38127831399834
1871,132.40335953900285
1881,134.4208725440003
1891,136.77445118799733
1901,135.9974455470001
1911,134.80560765000337
1921,135.8114435339994
1931,138.92395945700264
1941,138.01771918199665
1951,139.38998754200293
1961,138.07931198200095
1971,140.710570291998
1981,133.7420534669982
1991,141.81062074000147
2001,134.98145952100094
2011,140.5128339519979
2021,145.09028764800314
2031,143.36726774800263
2041,146.05560167500153
2051,146.54742061400248
2061,147.49931667800047
2071,146.48095591699894
2081,147.02995562300202
2091,144.53145897799914
2101,150.84889749099966
2111,148.87191267699745
2121,149.9295159400026
2131,139.7240309589979
2141,148.14922787700198
2151,154.31236117200024
2161,154.16113528300048
2171,152.69695296299687
2181,157.44048475199816
2191,153.8095087619986
